"Вспомогательный глагол для вопросов в настоящем времени (I, you, we, they).",do
Вспомогательный глагол для вопросов в прошедшем времени для всех лиц.,did
"Местоимение «его, ему» (объектный падеж).",him
Указательное слово: these.,эти
Указательное слово: this.,этот
Глагол «to be» (настоящее время) для местоимения «I».,am
Как переводится «I like you» с точки зрения структуры подлежащего?,Ты мне нравишься (подлежащее — «я»).
Модальный глагол «may».,мочь (в значении разрешения)
Как образуют форму прошедшего времени неправильные глаголы?,"Особыми способами, которые следует запоминать отдельно."
Местоимение «она» (именительный падеж).,she
Краткая форма «did not».,didn't
Как образуют утвердительную форму прошедшего времени правильные глаголы?,Путем прибавления окончания -d или -ed.
"Глагол «to be» (настоящее время) для местоимений «he, she, it».",is
Вопросительное слово: What?,Что? / Какой?
Указательное слово: that.,тот
Прошедшая форма модального глагола «may».,might
Вопросительное слово: Who?,Кто?
Глагол «to help».,помогать
"Какое окончание добавляется к глаголу в 3-м лице ед. числа (he, she) в утверждении настоящего времени?",-s (или -es)
Вопросительное слово: When?,Когда?
Местоимение «он» (именительный падеж).,he
"Вспомогательный глагол для вопросов в настоящем времени (he, she, it).",does
Какая частица добавляется к вспомогательному глаголу для образования отрицания?,not
Указательное слово: there.,там / туда
Краткий ответ «Нет» на вопрос «Can you help me?»,"No, I can't."
"Особая форма глагола «to have» для 3-го лица ед. числа (он, она) в настоящем времени.",has
Местоимение «мы» (именительный падеж).,we
Краткая форма «do not».,don't
Указательное слово: here.,здесь / сюда
Местоимение «они» (именительный падеж).,they
"Глагол «to be» (настоящее время) для местоимений «we, you, they».",are
"Местоимение «оно/это» (для неодушевленных предметов, ед. число).",it
Глагол «to start».,начинать
Вопросительное слово: Why?,Почему? / Зачем?
Глагол «to love».,любить
"Местоимение «их, им» (объектный падеж).",them
Глагол «to want».,хотеть
Краткая форма «does not».,doesn't
Указательное слово: those.,те
Формы глагола «to be» в прошедшем времени.,"was, were"
Модальный глагол «must».,должен / обязан
Принимают ли модальные глаголы окончание -s в 3-м лице единственного числа?,Нет (например: She may take it).
"Местоимение «нас, нам» (объектный падеж).",us
Прошедшая форма модального глагола «can».,could
"Какая форма глагола «to be» (прошедшее время) используется для единственного числа (I, he, she, it)?",was
Какое правило касается использования частицы «to» после модальных глаголов?,Она не употребляется (например: You can do it).
Формы глагола «to be» в настоящем времени.,"am, is, are"
Глагол «to think».,думать
Глагол «to finish».,заканчивать
"Какая форма глагола «to be» (прошедшее время) используется для множественного числа (we, you, they)?",were
"Местоимение «её, ей» (объектный падеж).",her
Какой вспомогательный глагол используется для образования будущего времени для всех лиц?,will
Глагол «to work».,работать
"Местоимение «меня, мне» (объектный падеж).",me
Вопросительное слово: Where?,Где? / Куда?
Модальный глагол «can».,мочь / уметь
"Местоимение «вы, ты» (именительный и объектный падеж).",you
Местоимение «Я» (именительный падеж).,I
Как в английском языке спросить «сколько» для исчисляемых существительных?,how many
Краткий ответ «Да» на вопрос «Do you speak English?»,"Yes, I do."
Как переводится предложение «Мне нужно идти»?,I need to go.
Глагол «to live».,жить
Вопросительное слово: How?,Как? / Каким образом?